domain,requestor,name,tool_type,discoverable,argument_count,arguments,docstring_words,source_file
mock,assistant,create_task,write,False,3,user_id|title|description,41,benchmarks/tau2-bench/src/tau2/domains/mock/tools.py
mock,assistant,get_users,read,False,0,,6,benchmarks/tau2-bench/src/tau2/domains/mock/tools.py
mock,assistant,transfer_to_human_agents,generic,False,1,summary,61,benchmarks/tau2-bench/src/tau2/domains/mock/tools.py
mock,assistant,update_task_status,write,False,2,task_id|status,34,benchmarks/tau2-bench/src/tau2/domains/mock/tools.py
mock,user,check_notifications,read,False,0,,13,benchmarks/tau2-bench/src/tau2/domains/mock/user_tools.py
mock,user,dismiss_notification,write,False,1,notification_id,27,benchmarks/tau2-bench/src/tau2/domains/mock/user_tools.py
airline,assistant,book_reservation,write,False,11,user_id|origin|destination|flight_type|cabin|flights|passengers|payment_methods|total_baggages|nonfree_baggages|insurance,120,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,calculate,generic,False,1,expression,46,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,cancel_reservation,write,False,1,reservation_id,24,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,get_flight_status,read,False,2,flight_number|date,31,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,get_reservation_details,read,False,1,reservation_id,26,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,get_user_details,read,False,1,user_id,29,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,list_all_airports,read,False,0,,16,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,search_direct_flight,read,False,3,origin|destination|date,59,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,search_onestop_flight,read,False,3,origin|destination|date,55,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,send_certificate,write,False,2,user_id|amount,46,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,transfer_to_human_agents,generic,False,1,summary,61,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,update_reservation_baggages,write,False,4,reservation_id|total_baggages|nonfree_baggages|payment_id,98,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
airline,assistant,update_reservation_flights,write,False,4,reservation_id|cabin|flights|payment_id,115,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
